product_id,arima_rmse,arima_mae,prophet_rmse,prophet_mae,ma7_rmse,ma7_mae,ma28_rmse,ma28_mae,actual_mean,actual_std,zero_pct,best_model
FOODS_1_049_TX_2_validation,0.7745275743702167,0.43811347073636464,0.7815611281474548,0.4125223730254374,0.7759128922285867,0.32653061224489793,0.7929858325419471,0.5229591836734694,0.21428571428571427,0.7726181304565691,89.28571428571429,ARIMA
FOODS_1_079_CA_4_validation,0.5382117799462123,0.3149489502121403,0.5474988038728281,0.23321287036265817,0.5933302759227196,0.5153061224489796,0.5933302759227196,0.5153061224489796,0.17857142857142858,0.5380899704756915,89.28571428571429,ARIMA
FOODS_1_097_CA_2_validation,1.4032987150883682,1.1092908741931633,1.3902046797917071,1.1109703599124499,1.4196147795965566,1.0561224489795917,1.4087916373797156,1.1173469387755102,1.6071428571428572,1.3974283961795608,28.57142857142857,PROPHET
FOODS_2_052_WI_1_validation,1.0433758426687318,0.8713939914293134,1.2847867707771636,0.9354047693771853,1.4142135623730951,1.2857142857142858,1.0158187609519924,0.7653061224489794,1.0,1.0,35.714285714285715,MA28
FOODS_2_078_CA_4_validation,1.0198415969646792,0.7854441730289761,1.0405546158001848,0.8284594363767248,1.0025477748298715,0.7908163265306124,1.0095210017930407,0.7882653061224489,0.75,0.9865162369237952,53.57142857142857,MA7
FOODS_2_124_CA_4_validation,0.52678143885355,0.4799082796507337,0.8358901421631778,0.7967544002680811,0.6102859818083951,0.586734693877551,0.4883855118277622,0.40816326530612246,0.17857142857142858,0.46702488680792925,85.71428571428571,MA28
FOODS_2_127_WI_3_validation,0.6274993711540341,0.2933776615433431,0.6272201976996414,0.2706637213831443,0.6546536707079771,0.21428571428571427,0.6277998511159621,0.29081632653061223,0.21428571428571427,0.6185895741317419,85.71428571428571,PROPHET
FOODS_2_212_WI_3_validation,1.5606771602125153,1.229890330112558,1.433491203384188,1.0572495523923273,1.5649215928719034,1.1938775510204085,1.749635530559413,1.5000000000000002,1.6428571428571428,1.5632906163028062,21.428571428571427,PROPHET
FOODS_2_295_TX_2_validation,0.8079358047462382,0.6381484825817098,0.9063962618120748,0.7393062448646257,1.0101525445522108,0.8877551020408162,0.8337583949949109,0.6811224489795917,0.8571428571428571,0.8329931278350428,39.285714285714285,ARIMA
FOODS_2_317_WI_3_validation,0.3164854911161841,0.2392232602221321,0.35774907085622687,0.30542116274364545,0.32732683535398854,0.10714285714285714,0.30929478706587094,0.19132653061224486,0.10714285714285714,0.30929478706587094,89.28571428571429,MA28
